Designation (and name)	Prov. Des.	q	Q	EMoid	H	Epoch	M	Peri.	Node	Incl.	e	a	Opps.	Ref.	Designation (and name)	"Discovery date, site and discoverer(s)"
	2012 VB37	0.997	1.907	0.01296	25.2	20131104	209.6	151.8	242.4	1.8	0.314	1.452	( 30d)	MPO248930	2012 VB37	2012 11 07  704  LINEAR
	2012 VE26	0.584	2.61	0.00116	28.4	20131104	152.2	94.4	44.6	3.5	0.634	1.597	(  0d)	MPO244127	2012 VE26	2012 11 07  G96  Mt. Lemmon Survey
	2012 VB26	0.808	2.858	0.02037	25.5	20131104	123.2	258	217.3	4	0.559	1.833	(  1d)	MPO244126	2012 VB26	2012 11 06  G96  Mt. Lemmon Survey
	2012 VA26	0.911	2.322	0.01299	26.6	20131104	155.6	48.1	43.8	10	0.437	1.617	(  5d)	MPO244126	2012 VA26	2012 11 06  G96  Mt. Lemmon Survey
	2012 VB20	0.865	3.472	0.00691	24.3	20131104	124.5	119.4	229.8	2	0.601	2.168	( 13d)	MPO244124	2012 VB20	2012 11 05  703  Catalina Sky Survey
	2012 VA20	0.749	2.617	0.01856	22.8	20131104	197	240.1	62.8	4.4	0.555	1.683	( 10d)	MPO244123	2012 VA20	2012 11 05  F51  Pan-STARRS 1
	2012 VT6	0.941	1.736	0.08035	23.1	20131104	280.1	284.1	36.4	10.6	0.297	1.339	(  5d)	MPO244115	2012 VT6	2012 11 02  G96  Mt. Lemmon Survey
	2012 VS6	0.822	1.746	0.09007	23.8	20131104	294.7	92.1	222.5	31.2	0.36	1.284	(  9d)	MPO244115	2012 VS6	2012 11 04  G96  Mt. Lemmon Survey
	2012 VQ6	0.762	2.263	0.0029	27	20131104	164.5	272.4	208	0.7	0.496	1.513	(  5d)	MPO244115	2012 VQ6	2012 11 04  G96  Mt. Lemmon Survey
	2012 VO6	0.915	3.018	0.02655	21.4	20131104	95.4	243.6	242.7	3.6	0.535	1.966	(151d)	MPO265026	2012 VO6	2012 11 04  F51  Pan-STARRS 1
	2012 VN6	0.563	1.523	0.21577	21.5	20131104	88.3	26.2	217	21	0.461	1.043	( 16d)	MPO244114	2012 VN6	2012 11 04  F51  Pan-STARRS 1
	2012 VM6	0.941	1.315	0.03635	25.1	20131104	358.5	98.7	227.1	5.1	0.166	1.128	(  2d)	MPO244114	2012 VM6	2012 11 04  G96  Mt. Lemmon Survey
	2012 VK6	0.68	3.929	0.0271	20.1	20131104	121.1	339.4	291	1.8	0.705	2.304	( 40d)	MPO252130	2012 VK6	2012 11 04  F51  Pan-STARRS 1
	2012 VJ6	0.851	4.403	0.0591	18.8	20131104	49.8	157.4	4.9	7.3	0.676	2.627	2	MPO266947	2012 VJ6	2012 11 04  691  Spacewatch
	2012 VH5	0.803	1.325	0.15951	22.5	20131104	193.7	170.7	17.6	9.3	0.245	1.064	2	MPO273980	2012 VH5	2012 11 03  F51  Pan-STARRS 1
	2012 VD5	0.877	3.157	0.00264	26.3	20131104	113.1	50.8	40.3	2.4	0.565	2.017	(  2d)	MPO244111	2012 VD5	2012 11 04  703  Catalina Sky Survey
	2012 VB5	0.728	3.451	0.01194	26.1	20131104	103.1	257.9	220.4	5.7	0.651	2.089	(  3d)	MPO244110	2012 VB5	2012 11 03  G96  Mt. Lemmon Survey
	2012 UB174	0.88	1.751	0.0154	24.9	20131104	277.9	117.7	211.2	17.6	0.331	1.316	(  1d)	MPO244107	2012 UB174	2012 10 26  G96  Mt. Lemmon Survey
	2012 UL171	0.909	1.214	0.01141	27	20131104	271.5	92.7	21.3	3.1	0.144	1.062	(  2d)	MPO244105	2012 UL171	2012 10 25  G96  Mt. Lemmon Survey
	2012 UU169	0.925	3.953	0.00442	25.6	20131104	88.9	217.5	215.2	5.8	0.621	2.439	(  3d)	MPO244105	2012 UU169	2012 10 25  703  Catalina Sky Survey
	2012 UW158	0.7	3.788	0.02585	23.8	20131104	124	282.1	31.1	35.6	0.688	2.244	(  1d)	MPO244093	2012 UW158	2012 10 25  703  Catalina Sky Survey
	2012 UU158	0.689	1.51	0.00084	26.6	20131104	20.5	261.9	26.8	6	0.373	1.1	( 14d)	MPO244092	2012 UU158	2012 10 23  F51  Pan-STARRS 1
	2012 UR158	0.324	4.16	0.00351	20.8	20131104	93.8	238	287.8	3.2	0.855	2.242	( 16d)	MPO244092	2012 UR158	2012 10 22  703  Catalina Sky Survey
	2012 UR138	0.902	3.035	0.00343	21.3	20131104	164.9	48.9	256	7.8	0.542	1.968	( 52d)	MPO265025	2012 UR138	2012 10 23  F51  Pan-STARRS 1
	2012 UO138	0.668	3.262	0.27064	17.7	20131104	116.1	216	180.2	54.5	0.66	1.965	(  4d)	MPO240183	2012 UO138	2012 10 21  G96  Mt. Lemmon Survey
	2012 UX136	0.89	1.288	0.00681	25.6	20131104	265.2	64.8	47.2	4.5	0.183	1.089	(  9d)	MPO245998	2012 UX136	2012 10 22  E12  Siding Spring Survey
	2012 UW136	0.845	1.193	0.1425	22.9	20131104	141.3	25.5	219	14.4	0.171	1.019	2	MPO272412	2012 UW136	2012 10 22  F51  Pan-STARRS 1
	2012 UV136	0.866	1.146	0.01176	25.5	20131104	274.2	289.9	210.9	2.2	0.139	1.006	2	MPO273980	2012 UV136	2012 10 22  G96  Mt. Lemmon Survey
	2012 UU136	0.914	1.406	0.03718	21.3	20131104	37.8	227.8	36.1	35.6	0.212	1.16	( 44d)	MPO248926	2012 UU136	2012 10 21  G96  Mt. Lemmon Survey
	2012 UT136	0.599	2.249	0.12134	21.1	20131104	164.5	21.7	125.9	7.8	0.579	1.424	(  2d)	MPO240182	2012 UT136	2012 10 21  G96  Mt. Lemmon Survey
	2012 US136	0.38	8.218	0.09022	15.9	20131104	45.5	279.2	0.5	51.8	0.912	4.299	( 74d)	MPO252128	2012 US136	2012 10 21  G96  Mt. Lemmon Survey
	2012 UC69	0.962	3.341	0.02645	22.9	20131104	127.7	316.9	33.7	5.8	0.553	2.152	( 52d)	MPO248922	2012 UC69	2012 10 22  E12  Siding Spring Survey
	2012 UZ68	0.969	2.893	0.0157	24.7	20131104	150	143.6	207.3	4.9	0.498	1.931	(  3d)	MPO240179	2012 UZ68	2012 10 22  703  Catalina Sky Survey
	2012 UY68	0.907	1.443	0.01715	25	20131104	239.5	35.7	70.3	2.9	0.228	1.175	( 24d)	MPO245991	2012 UY68	2012 10 21  G96  Mt. Lemmon Survey
	2012 UX68	0.785	1.397	0.00613	24.1	20131104	244.9	93.2	50.5	4.2	0.281	1.091	( 31d)	MPO245991	2012 UX68	2012 10 20  F51  Pan-STARRS 1
	2012 UW68	0.96	1.312	0.02378	24.8	20131104	236.4	102.4	15.4	2.5	0.155	1.136	(178d)	MPO260829	2012 UW68	2012 10 22  G96  Mt. Lemmon Survey
	2012 US68	0.106	4.901	0.17287	18.3	20131104	128.5	190.7	40.5	25.8	0.958	2.503	( 57d)	MPO252126	2012 US68	2012 10 18  F51  Pan-STARRS 1
	2012 UF34	0.96	4.694	0.00729	24.8	20131104	74.3	29.8	24.8	4.7	0.66	2.827	(  5d)	MPO240178	2012 UF34	2012 10 20  703  Catalina Sky Survey
	2012 UE34	0.996	1.215	0.00271	23.3	20131104	134.8	18.4	198.5	9.7	0.099	1.105	(260d)	MPO281948	2012 UE34	2012 10 18  F51  Pan-STARRS 1
	2012 UC34	0.904	1.737	0.0435	23	20131104	301.9	264.3	33.4	5.6	0.315	1.321	( 16d)	MPO245986	2012 UC34	2012 10 18  F51  Pan-STARRS 1
	2012 UZ33	0.941	3.524	0.00716	19.2	20131104	144.7	224.5	86	3.4	0.579	2.233	3	MPO254823	2012 UZ33	2012 10 17  G96  Mt. Lemmon Survey
	2012 UT18	0.942	3.76	0.0595	24.3	20131104	116.2	116.3	218.3	7.2	0.599	2.351	(  1d)	MPO240175	2012 UT18	2012 10 18  G96  Mt. Lemmon Survey
	2012 US18	0.771	1.613	0.00388	28.6	20131104	241.6	265.9	205.6	3.5	0.353	1.192	(  3d)	MPO240175	2012 US18	2012 10 18  G96  Mt. Lemmon Survey
	2012 UR18	0.887	1.846	0.02883	26	20131104	199.9	248.3	206.1	7.5	0.351	1.366	(  6d)	MPO245984	2012 UR18	2012 10 18  G96  Mt. Lemmon Survey
	2012 UY9	0.895	2.084	0.0072	24.3	20131104	244.6	317.1	349.4	2.7	0.399	1.49	(  3d)	MPO240174	2012 UY9	2012 10 17  G96  Mt. Lemmon Survey
	2012 UW9	0.91	2.667	0.02043	25.7	20131104	139.3	53.3	24.8	6.6	0.491	1.788	(  1d)	MPO240173	2012 UW9	2012 10 17  G96  Mt. Lemmon Survey
	2012 UV9	0.949	2.83	0.02909	23	20131104	158.2	169.6	173.2	5	0.498	1.89	( 22d)	MPO245983	2012 UV9	2012 10 16  E12  Siding Spring Survey
	2012 UU9	0.95	2.155	0.02267	23.9	20131104	213.8	175.7	165.1	2.6	0.388	1.552	(  8d)	MPO245983	2012 UU9	2012 10 16  E12  Siding Spring Survey
	2012 US9	0.823	1.362	0.13358	21.6	20131104	219.2	182.9	334.7	8.3	0.247	1.093	2	MPO265883	2012 US9	2012 10 16  G96  Mt. Lemmon Survey
	2012 UK	0.99	2.061	0.09777	24.6	20131104	172.2	65.5	18	9.8	0.351	1.525	(  5d)	MPO240171	2012 UK	2012 10 16  G96  Mt. Lemmon Survey
	2012 UE	0.808	2.96	0.00048	28.4	20131104	129.1	59.9	28.1	1.2	0.571	1.884	(  1d)	MPO240170	2012 UE	2012 10 16  G96  Mt. Lemmon Survey
	2012 TB259	0.81	3.006	0.07784	21	20131104	165.7	203.8	98.3	7.2	0.575	1.908	( 38d)	MPO245977	2012 TB259	2012 10 15  E12  Siding Spring Survey
	2012 TA259	0.487	3.275	0.17046	20.3	20131104	121.3	354.4	144.5	10.3	0.741	1.881	( 23d)	MPO245977	2012 TA259	2012 10 15  E12  Siding Spring Survey
	2012 TT256	0.716	4.607	0.16954	19.5	20131104	104.9	171.9	106.3	11.1	0.731	2.661	( 38d)	MPO245977	2012 TT256	2012 10 13  E12  Siding Spring Survey
	2012 TU231	0.953	2.536	0.00284	26.2	20131104	176.9	327.4	19.3	9.6	0.454	1.745	( 23d)	MPO245975	2012 TU231	2012 10 15  703  Catalina Sky Survey
	2012 TT231	0.69	3.218	0.01638	23.3	20131104	118.7	274.3	196.2	7.1	0.647	1.954	(  9d)	MPO245975	2012 TT231	2012 10 14  703  Catalina Sky Survey
	2012 TS231	0.989	3.942	0.07952	20.9	20131104	112.8	280.9	42	5.4	0.599	2.465	( 20d)	MPO245975	2012 TS231	2012 10 14  703  Catalina Sky Survey
	2012 TQ231	0.638	1.747	0.0038	27.6	20131104	247.8	274.3	204.5	3.5	0.465	1.192	(  1d)	MPO240156	2012 TQ231	2012 10 11  G96  Mt. Lemmon Survey
	2012 TP231	0.834	1.401	0.00573	25	20131104	264.6	75.4	30.3	6.7	0.254	1.118	(  6d)	MPO240156	2012 TP231	2012 10 13  E12  Siding Spring Survey
	2012 TQ146	0.886	2.193	0.00421	26.4	20131104	177.5	54	20.3	5	0.424	1.54	(  2d)	MPO240148	2012 TQ146	2012 10 14  G96  Mt. Lemmon Survey
	2012 TJ146	0.99	4.423	0.05509	20.6	20131104	68.4	50.2	45.5	5.4	0.634	2.707	(159d)	MPO258426	2012 TJ146	2012 10 11  F51  Pan-STARRS 1
	2012 TP139	0.785	2.151	0.03815	20.3	20131104	270.2	3.2	271.9	2.3	0.465	1.468	2	MPO283348	2012 TP139	2012 10 11  691  Spacewatch
	2012 TO139	0.272	4.604	0.00072	19.7	20131104	120.8	56.2	179.3	5.4	0.888	2.438	( 36d)	MPO245966	2012 TO139	2012 10 11  G96  Mt. Lemmon Survey
	2012 TK123	0.567	3.062	0.07884	18.9	20131104	119.7	104.3	30.9	27.9	0.687	1.815	2	MPO262487	2012 TK123	2012 10 09  703  Catalina Sky Survey
	2012 TZ79	0.977	1.838	0.1172	22.5	20131104	301.6	262.9	7.9	10.5	0.306	1.407	(  8d)	MPO240142	2012 TZ79	2012 10 09  F51  Pan-STARRS 1
	2012 TM79	0.958	3.339	0.00072	26.6	20131104	128.8	334.1	15.1	1.4	0.554	2.149	(  1d)	MPO278276	2012 TM79	2012 10 10  703  Catalina Sky Survey
	2012 TH79	0.927	3.888	0.07954	21.6	20131104	85.8	287.3	157.5	7.7	0.615	2.408	(131d)	MPO254822	2012 TH79	2012 10 10  F51  Pan-STARRS 1
	2012 TE79	0.896	2.342	0.01233	26.6	20131104	164.8	60.6	13.5	3.2	0.447	1.619	(  6d)	MPO240141	2012 TE79	2012 10 09  G96  Mt. Lemmon Survey
	2012 TD79	0.8	3.168	0.01849	24.2	20131104	119.5	249.7	199	8.1	0.597	1.984	( 10d)	MPO240141	2012 TD79	2012 10 09  G96  Mt. Lemmon Survey
	2012 TV78	0.818	2.813	0.01265	19.4	20131104	97.4	244.5	252.1	7.5	0.549	1.815	2	MPO265025	2012 TV78	2012 10 08  F51  Pan-STARRS 1
	2012 TS78	0.995	2.221	0.00658	18.6	20131104	350.6	196.7	8.3	32.7	0.381	1.608	( 60d)	MPO248911	2012 TS78	2012 10 08  G96  Mt. Lemmon Survey
	2012 TQ78	0.74	1.662	0.08258	19.5	20131104	170.4	118.9	52	11.4	0.384	1.201	2	MPO271293	2012 TQ78	2012 10 06  F51  Pan-STARRS 1
	2012 TJ53	0.829	3.088	0.00667	26.3	20131104	155.7	135.5	180.5	1.7	0.577	1.959	(  1d)	MPO240138	2012 TJ53	2012 10 09  703  Catalina Sky Survey
	2012 TH53	0.987	2.712	0.03274	25.1	20131104	167	321.8	13	7.6	0.466	1.849	(  7d)	MPO240138	2012 TH53	2012 10 09  G96  Mt. Lemmon Survey
	2012 TG53	0.951	3.412	0.00477	23.2	20131104	127.7	323.7	17.1	2.7	0.564	2.181	( 24d)	MPO248910	2012 TG53	2012 10 09  703  Catalina Sky Survey
	2012 TF53	0.9	1.952	0.0459	21.2	20131104	162	282.3	201.1	6.1	0.369	1.426	2	MPO265025	2012 TF53	2012 10 08  F51  Pan-STARRS 1
	2012 TE53	0.959	3.68	0.00364	26.5	20131104	115.8	329.6	16.1	3.9	0.587	2.32	(  2d)	MPO240137	2012 TE53	2012 10 08  703  Catalina Sky Survey
	2012 TY52	0.744	2.584	0.00023	21.3	20131104	139.7	252.6	221.8	9.6	0.553	1.664	2	MPO273980	2012 TY52	2012 10 07  F51  Pan-STARRS 1
	2012 TQ20	0.978	3.03	0.00967	27.1	20131104	125.9	61.2	349.2	0.8	0.512	2.004	(  1d)	MPO240132	2012 TQ20	2012 10 08  G96  Mt. Lemmon Survey
	2012 TP20	0.934	1.839	0.00376	27.8	20131104	261.9	117.4	208.1	0.7	0.326	1.387	(  8d)	MPO240132	2012 TP20	2012 10 08  G96  Mt. Lemmon Survey
	2012 TN20	0.726	1.637	0.13804	22.3	20131104	233.7	138.9	348.9	11.6	0.385	1.182	( 10d)	MPO240131	2012 TN20	2012 10 07  F51  Pan-STARRS 1
	2012 TT5	0.717	3.437	0.05687	21.7	20131104	148.7	272.5	12.2	15.2	0.655	2.077	( 30d)	MPO245956	2012 TT5	2012 10 06  G96  Mt. Lemmon Survey
	2012 TR5	0.969	2.168	0.05536	25.5	20131104	221.4	128.3	191.4	13	0.382	1.568	(  3d)	MPO240128	2012 TR5	2012 10 05  G96  Mt. Lemmon Survey
	2012 TC4	0.934	1.878	0.00016	26.7	20131104	208.9	222.5	198.3	0.9	0.336	1.406	(  7d)	MPO240126	2012 TC4	2012 10 04  F51  Pan-STARRS 1
	2012 TV	0.643	2.361	0.00173	25.2	20131104	182.4	269.8	193.6	5.5	0.572	1.502	(  2d)	MPO240124	2012 TV	2012 10 05  926
	2012 TT	0.943	2.487	0.14884	18	20131104	264.7	247.7	343.5	37.4	0.45	1.715	2	MPO285750	2012 TT	2012 10 04  F51  Pan-STARRS 1
	2012 SJ58	0.798	1.646	0.01456	26.1	20131104	247.1	83.1	5.9	10.1	0.347	1.222	(  8d)	MPO240121	2012 SJ58	2012 09 26  G96  Mt. Lemmon Survey
	2012 SG58	0.827	4.875	0.00247	23.1	20131104	73.6	53	14.8	6.5	0.71	2.851	(  8d)	MPO240121	2012 SG58	2012 09 26  703  Catalina Sky Survey
	2012 SF58	0.868	3.412	0.01303	25.9	20131104	139.8	123.9	183.9	8.3	0.595	2.14	(  1d)	MPO240121	2012 SF58	2012 09 26  G96  Mt. Lemmon Survey
	2012 SR56	0.83	1.763	0.0035	24.3	20131104	311	284.9	360	2.3	0.36	1.296	( 21d)	MPO240120	2012 SR56	2012 09 25  691  Spacewatch
	2012 SF51	0.781	4.224	0.16833	15.4	20131104	17.4	156.6	1.2	20.8	0.688	2.502	7	MPO248908	2012 SF51	2012 09 24  G96  Mt. Lemmon Survey
	2012 SL50	0.853	2.329	0.00134	26.4	20131104	176.6	238.5	184.7	9.6	0.464	1.591	(  1d)	MPO240118	2012 SL50	2012 09 24  703  Catalina Sky Survey
	2012 SY49	0.677	2.376	0.00021	25.8	20131104	183.3	84.2	6.1	1.2	0.556	1.526	(  4d)	MPO240117	2012 SY49	2012 09 22  H36  G. Hug
	2012 SJ32	0.932	2.008	0.0094	25.1	20131104	201.1	237.1	175.6	2.1	0.366	1.47	(  4d)	MPO240112	2012 SJ32	2012 09 22  704  LINEAR
	2012 SG32	0.957	1.645	0.11801	21.6	20131104	217.5	259.1	174.7	18.6	0.264	1.301	(171d)	MPO258424	2012 SG32	2012 09 22  G96  Mt. Lemmon Survey
	2012 SN30	0.692	1.827	0.30748	18.8	20131104	39.7	9	198.3	46.4	0.451	1.26	( 55d)	MPO245954	2012 SN30	2012 09 20  G96  Mt. Lemmon Survey
	2012 SD22	0.84	3.089	0.01654	20.1	20131104	114	313.4	140.5	7.9	0.572	1.965	3	MPO260828	2012 SD22	2012 09 19  703  Catalina Sky Survey
	2012 SC22	0.485	2.152	0.18574	20.1	20131104	167.3	167.4	344.4	12.6	0.632	1.319	2	MPO267578	2012 SC22	2012 09 19  G96  Mt. Lemmon Survey
	2012 SW20	0.782	4.132	0.00398	19.7	20131104	122.1	61.8	210.2	10.2	0.682	2.457	( 60d)	MPO245953	2012 SW20	2012 09 18  703  Catalina Sky Survey
	2012 SV9	0.74	3.269	0.01399	23.9	20131104	164.3	81	188.6	4.8	0.631	2.004	(  5d)	MPO240097	2012 SV9	2012 09 19  G96  Mt. Lemmon Survey
	2012 ST9	0.663	3.259	0.06471	19.7	20131104	107.7	308.1	174.5	7.7	0.662	1.961	3	MPO265024	2012 ST9	2012 09 17  G96  Mt. Lemmon Survey
	2012 SL8	0.702	1.863	0.17537	20.9	20131104	183.8	136.6	355.9	17.5	0.453	1.283	( 62d)	MPO245952	2012 SL8	2012 09 16  G96  Mt. Lemmon Survey
	2012 SB3	0.937	2.017	0.00317	27.7	20131104	248.3	133.8	173.5	2.7	0.366	1.477	(  6d)	MPO240092	2012 SB3	2012 09 17  G96  Mt. Lemmon Survey
	2012 SA3	0.696	3.211	0.02702	22.4	20131104	175.1	86.8	168.5	9.2	0.644	1.954	(  8d)	MPO240092	2012 SA3	2012 09 17  G96  Mt. Lemmon Survey
	2012 SZ2	0.938	1.665	0.01617	25.3	20131104	243.4	232	174.7	17.1	0.279	1.302	(  5d)	MPO240091	2012 SZ2	2012 09 17  704  LINEAR
	2012 SW2	0.772	3.984	0.00466	27.5	20131104	99.2	240	181.6	3.2	0.675	2.378	(  3d)	MPO240091	2012 SW2	2012 09 16  G96  Mt. Lemmon Survey
	2012 RV16	0.897	4.617	0.11607	19.6	20131104	73.5	67.6	9.1	20.5	0.675	2.757	(204d)	MPO259289	2012 RV16	2012 09 15  703  Catalina Sky Survey
	2012 RU16	0.962	4.007	0.00319	25.5	20131104	113.3	357.8	310.6	0.4	0.613	2.484	( 25d)	MPO245951	2012 RU16	2012 09 15  G96  Mt. Lemmon Survey
	2012 RR16	0.971	1.789	0.00196	24.5	20131104	272.8	145.7	170	3.8	0.296	1.38	( 26d)	MPO240068	2012 RR16	2012 09 14  703  Catalina Sky Survey
	2012 RM15	0.821	1.367	0.01008	24.5	20131104	60.9	89.5	171.3	8	0.25	1.094	(  7d)	MPO240067	2012 RM15	2012 09 14  703  Catalina Sky Survey
	2012 RK15	0.783	3.881	0.0046	23.4	20131104	101	26.6	36.6	0.4	0.664	2.332	(  7d)	MPO240066	2012 RK15	2012 09 14  703  Catalina Sky Survey
	2012 RJ15	0.883	1.132	0.08967	23.6	20131104	265.9	320.3	175.9	24.8	0.124	1.008	(  8d)	MPO240066	2012 RJ15	2012 09 14  G96  Mt. Lemmon Survey
	2012 RG15	0.589	1.565	0.02252	19.8	20131104	75.1	247.2	336.6	48.9	0.453	1.077	( 36d)	MPO240066	2012 RG15	2012 09 14  704  LINEAR
	2012 RJ10	0.823	3.523	0.00892	25.4	20131104	143.4	294.5	347.9	4.4	0.621	2.173	(  9d)	MPO240059	2012 RJ10	2012 09 13  G96  Mt. Lemmon Survey
	2012 RH10	0.608	1.683	0.07502	22.1	20131104	264.4	122.9	352.4	13.9	0.469	1.145	( 30d)	MPO240059	2012 RH10	2012 09 12  E12  Siding Spring Survey
	2012 RN6	0.574	2.717	0.05367	21.1	20131104	225.5	195.1	45.2	3.2	0.651	1.645	( 29d)	MPO254821	2012 RN6	2012 09 11  E12  Siding Spring Survey
	2012 RG3	0.743	2.407	0.13852	17.9	20131104	93.9	35.1	113.1	15.9	0.528	1.575	2	MPO268486	2012 RG3	2012 09 06  F51  Pan-STARRS 1
	2012 RM2	0.99	3.118	0.05945	22.8	20131104	153	111.3	192.5	4.8	0.518	2.054	( 39d)	MPO240044	2012 RM2	2012 09 08  J43  Morocco Oukaimeden Sky Survey
	2012 QQ50	0.85	2.584	0.07955	19.8	20131104	140.1	201.5	244.4	9.4	0.505	1.717	2	MPO265024	2012 QQ50	2012 08 28  G96  Mt. Lemmon Survey
	2012 QE50	0.969	2.497	0.04518	18.9	20131104	154.7	224.8	194	11.9	0.441	1.733	(198d)	MPO256312	2012 QE50	2012 08 28  703  Catalina Sky Survey
	2012 QG49	0.753	1.638	0.0685	22.6	20131104	263.7	149.9	291.7	5	0.37	1.195	( 20d)	MPO240035	2012 QG49	2012 08 28  G96  Mt. Lemmon Survey
	2012 QG42	0.642	1.41	0.01364	20.9	20131104	327.9	116.1	344.9	6.8	0.375	1.026	2	MPO271293	2012 QG42	2012 08 26  703  Catalina Sky Survey
	2012 QD18	0.996	2.533	0.02529	26	20131104	195.3	146	152.9	8.4	0.435	1.765	(  1d)	MPO236387	2012 QD18	2012 08 26  G96  Mt. Lemmon Survey
	2012 QB18	0.89	3.094	0.01305	24	20131104	168.5	125.1	150.8	7.5	0.553	1.992	( 22d)	MPO242011	2012 QB18	2012 08 25  F51  Pan-STARRS 1
	2012 QW17	0.849	4.029	0.03185	23.6	20131104	124.4	116.8	153	12.7	0.652	2.439	( 11d)	MPO242011	2012 QW17	2012 08 25  703  Catalina Sky Survey
	2012 QZ16	0.764	2.312	0.00848	25.5	20131104	196.7	258.9	151.6	6.1	0.503	1.538	(  3d)	MPO236385	2012 QZ16	2012 08 23  F51  Pan-STARRS 1
	2012 QM14	0.75	1.693	0.00957	25.7	20131104	15	225.5	4	0.9	0.386	1.221	(  6d)	MPO236385	2012 QM14	2012 08 17  F51  Pan-STARRS 1
	2012 QH14	0.904	2.912	0.00586	27.3	20131104	149.5	244	135.8	1.1	0.526	1.908	(  2d)	MPO236384	2012 QH14	2012 08 21  F51  Pan-STARRS 1
	2012 QO10	0.86	2.467	0.06794	18.9	20131104	143.8	188.3	262.4	5.7	0.483	1.664	2	MPO265024	2012 QO10	2012 08 21  F51  Pan-STARRS 1
	2012 QD8	0.577	3.247	0.00324	23.1	20131104	139	86.9	349.5	5.6	0.698	1.912	( 20d)	MPO242010	2012 QD8	2012 08 17  F51  Pan-STARRS 1
	2012 QC8	0.652	4.935	0.05721	17.9	20131104	78.6	45.4	24.3	5.9	0.766	2.794	3	MPO265024	2012 QC8	2012 08 19  E12  Siding Spring Survey
	2012 QV2	0.996	3.457	0.00802	24.1	20131104	123	21.4	337.2	7.2	0.553	2.226	( 12d)	MPO242010	2012 QV2	2012 08 17  E12  Siding Spring Survey
	2012 PP28	0.785	3.196	0.02547	19.3	20131104	136.1	133.3	254.4	5.7	0.606	1.99	2	MPO253098	2012 PP28	2012 08 14  J75
	2012 PN28	0.833	2.728	0.15314	17.8	20131104	50.6	174.8	319.1	24.5	0.532	1.78	2	MPO239975	2012 PN28	2012 08 13  F51  Pan-STARRS 1
	2012 PM28	0.59	3.027	0.09591	22.8	20131104	149.5	126.9	309.9	9.6	0.674	1.808	( 10d)	MPO242009	2012 PM28	2012 08 13  F51  Pan-STARRS 1
	2012 PK24	0.778	1.867	0.00032	23.7	20131104	236.2	105.7	318.2	6.7	0.412	1.323	( 34d)	MPO242009	2012 PK24	2012 08 13  F51  Pan-STARRS 1
	2012 PB20	0.954	1.154	0.00269	24.9	20131104	168.7	50	142.9	5.8	0.095	1.054	( 57d)	MPO245948	2012 PB20	2012 08 14  F51  Pan-STARRS 1
	2012 PA20	0.843	3.206	0.01724	22.2	20131104	122.4	118.7	300	6.8	0.584	2.024	( 58d)	MPO242009	2012 PA20	2012 08 13  F51  Pan-STARRS 1
	2012 PS4	0.72	2.816	0.04612	21.2	20131104	215.2	144.2	86.3	3.9	0.593	1.768	( 35d)	MPO242008	2012 PS4	2012 08 07  E12  Siding Spring Survey
	2012 PX	0.979	3.551	0.00229	23.2	20131104	115.7	199.4	175.6	3.4	0.568	2.265	( 34d)	MPO254821	2012 PX	2012 08 07  F51  Pan-STARRS 1
	2012 PW	0.926	2.617	0.05765	18.9	20131104	169.5	166.7	214.6	22.3	0.477	1.772	(207d)	MPO256302	2012 PW	2012 08 06  F51  Pan-STARRS 1
	2012 PA	0.403	2.312	0.14699	20.3	20131104	319.3	14.7	170.5	11.2	0.703	1.358	2	MPO278273	2012 PA	2012 08 02  F51  Pan-STARRS 1
	2012 OP4	0.726	3.51	0.04913	20	20131104	126.4	262.6	143.8	20.7	0.657	2.118	2	MPO256301	2012 OP4	2012 07 28  J75
	2012 OU1	0.887	1.838	0.01497	24.5	20131104	258	244.9	121	11.6	0.349	1.362	(  7d)	MPO234837	2012 OU1	2012 07 21  704  LINEAR
	2012 OQ	0.72	1.661	0.01531	21.9	20131104	306.7	100.6	294.1	7.1	0.395	1.191	( 10d)	MPO260828	2012 OQ	2012 07 16  J75
	2012 NQ	0.455	3.3	0.14163	20.2	20131104	158.6	151.1	255	11.4	0.758	1.877	( 19d)	MPO237428	2012 NQ	2012 07 14  704  LINEAR
	2012 NO	0.715	1.772	0.12022	20.1	20131104	282	117.2	289.6	43.7	0.425	1.243	( 24d)	MPO242007	2012 NO	2012 07 13  704  LINEAR
	2012 NN	0.96	4.191	0.02903	20.9	20131104	122.6	6.3	237.6	4.6	0.627	2.575	( 60d)	MPO242007	2012 NN	2012 07 13  704  LINEAR
	2012 MM11	0.741	3.48	0.0108	20.3	20131104	137.7	123.3	246.2	3.2	0.649	2.11	(224d)	MPO259287	2012 MM11	2012 06 24  704  LINEAR
	2012 MF7	0.91	2.038	0.00026	26.9	20131104	298.9	127.5	91	2	0.383	1.474	( 29d)	MPO235402	2012 MF7	2012 06 23  703  Catalina Sky Survey
	2012 MB7	0.918	1.604	0.08575	22.2	20131104	298.2	82.3	262.6	20	0.272	1.261	(173d)	MPO248906	2012 MB7	2012 06 22  G96  Mt. Lemmon Survey
	2012 MZ6	0.616	3.669	0.01479	21.5	20131104	174.8	225	317.2	1.4	0.713	2.143	( 24d)	MPO235402	2012 MZ6	2012 06 21  703  Catalina Sky Survey
